Site Id,School Name,Site Name,Protocol,Data Count,Latitude,Longitude,Elevation
366276,Champlin Park High School,15TVK718992,Land Covers,1.0,45.14571,-93.35871,264.6
365039,Champlin Park High School,15TVK719992,Land Covers,9.0,45.14572,-93.35744,261.6
365337,Champlin Park High School,15TVK719993,Land Covers,2.0,45.14662,-93.35744,266.6
366823,Champlin Park High School,15TVK719994,Land Covers,1.0,45.14752,-93.35745,268.4
365202,Champlin Park High School,15TVK719995,Land Covers,2.0,45.14842,-93.35745,265.5
367443,Champlin Park High School,15TVK720994,Land Covers,1.0,45.14752,-93.35618,268.8
365156,Champlin Park High School,15TVK720997,Land Covers,4.0,45.15022,-93.35619,265.4
364963,Champlin Park High School,15TVK721996,Land Covers,2.0,45.14933,-93.35492,265.2
364747,Champlin Park High School,15TVK721997,Land Covers,6.0,45.15023,-93.35492,264.7
332919,Champlin Park High School,15TVK721998,Land Covers,43.0,45.15113,-93.35493,264.3
366801,Champlin Park High School,15TVK721999,Land Covers,1.0,45.15203,-93.35493,262.9
364873,Champlin Park High School,15TVK722994,Land Covers,3.0,45.14753,-93.35363,264.8
364854,Champlin Park High School,15TVK722995,Land Covers,3.0,45.14843,-93.35364,263.1
365374,Champlin Park High School,15TVK722996,Land Covers,4.0,45.14933,-93.35364,265.7
365345,Champlin Park High School,15TVK722997,Land Covers,2.0,45.15023,-93.35365,264.8
365350,Champlin Park High School,15TVK722998,Land Covers,3.0,45.15113,-93.35365,264.0
366329,Champlin Park High School,15TVK723994,Land Covers,1.0,45.14753,-93.35236,261.0
365370,Champlin Park High School,15TVK723995,Land Covers,2.0,45.14843,-93.35237,263.7
365344,Champlin Park High School,15TVK723996,Land Covers,1.0,45.14933,-93.35237,265.3
366180,Champlin Park High School,15TVK749919,Land Covers,1.0,45.08012,-93.31891,259.4
367879,Champlin Park High School,15TVK783676,Land Covers,1.0,44.86149,-93.27467,256.0
368623,Champlin Park High School,15TVK859916,Land Covers,1.0,45.07772,-93.17914,272.3
368622,Champlin Park High School,15TVK908918,Land Covers,1.0,45.0796,-93.11689,282.9
366538,Champlin Park High School,15TVL634080,Land Covers,1.0,45.22454,-93.4662,258.3
367458,Champlin Park High School,15TVL650052,Land Covers,1.0,45.19942,-93.44563,263.9
365005,Champlin Park High School,15TVL651044,Land Covers,1.0,45.19222,-93.4443,273.3
365524,Champlin Park High School,15TVL662044,Land Covers,2.0,45.19227,-93.43029,262.1
366257,Champlin Park High School,15TVL667035,Land Covers,1.0,45.1842,-93.42387,262.2
365549,Champlin Park High School,15TVL669041,Land Covers,7.0,45.18961,-93.42136,261.0
365928,Champlin Park High School,15TVL671034,Land Covers,6.0,45.18332,-93.41877,261.6
366028,Champlin Park High School,15TVL671035,Land Covers,1.0,45.18422,-93.41878,262.4
367501,Champlin Park High School,15TVL680026,Land Covers,1.0,45.17616,-93.40726,267.1
365769,Champlin Park High School,15TVL680033,Land Covers,3.0,45.18246,-93.40731,264.2
364994,Champlin Park High School,15TVL684013,Land Covers,5.0,45.16447,-93.40209,274.0
365810,Champlin Park High School,15TVL685014,Land Covers,2.0,45.16538,-93.40082,270.8
366250,Champlin Park High School,15TVL686014,Land Covers,2.0,45.16538,-93.39955,272.3
366231,Champlin Park High School,15TVL695017,Land Covers,1.0,45.16812,-93.38812,267.2
366141,Champlin Park High School,15TVL696016,Land Covers,1.0,45.16723,-93.38684,268.0
364881,Champlin Park High School,15TVL702023,Land Covers,1.0,45.17355,-93.37925,262.0
365053,Champlin Park High School,15TVL704018,Land Covers,2.0,45.16906,-93.37667,263.1
365718,Champlin Park High School,15TVL706019,Land Covers,5.0,45.16997,-93.37413,264.0
367717,Champlin Park High School,15TVL706020,Land Covers,1.0,45.17087,-93.37414,263.1
366749,Champlin Park High School,15TVL707020,Land Covers,1.0,45.17087,-93.37287,263.3
366134,Champlin Park High School,15TVL713008,Land Covers,2.0,45.1601,-93.36516,263.3
366914,Champlin Park High School,15TVL725008,Land Covers,2.0,45.16014,-93.34989,260.2
366739,Champlin Park High School,15TVL725009,Land Covers,1.0,45.16104,-93.3499,259.1
366832,Champlin Park High School,15TVL726008,Land Covers,1.0,45.16015,-93.34862,258.2
367537,Champlin Park High School,15TWJ675628,Land Covers,1.0,43.91522,-92.15928,404.5
367689,Champlin Park High School,15TWJ704622,Land Covers,1.0,43.90955,-92.12324,372.5
367600,Champlin Park High School,15TWJ708622,Land Covers,1.0,43.90951,-92.11826,359.0
367616,Champlin Park High School,15TXL309943,Land Covers,1.0,45.98977,-91.3098,419.9
368513,CI Bilingual ,19QDA005432,Land Covers,1.0,18.47682,-69.94243,51.7
368508,CI BILINGUAL SCHOOL,19QDA005432,Land Covers,1.0,18.47682,-69.94243,51.7
368065,Colegio Montessori de Cartagena,19QDA067429,Land Covers,1.0,18.47439,-69.8837,13.9
368164,Colegio Montessori de Cartagena,19QDA067431,Land Covers,1.0,18.4762,-69.88371,11.8
368414,Colegio Santa Rosa de Lima,19QCA994396,Land Covers,1.0,18.44424,-69.95267,46.0
150748,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,10TDQ956541,Land Covers,1.0,44.74027,-123.05558,60.8
135582,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,10TER256382,Land Covers,2.0,45.49686,-122.67235,12.5
366144,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,10TER292221,Land Covers,1.0,45.3518,-122.62723,86.2
144250,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,10TER983173,Land Covers,1.0,45.30232,-121.74617,1209.5
367131,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,10TFP668808,Land Covers,1.0,44.06139,-120.9174,1057.8
367148,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,10TFQ190839,Land Covers,1.0,44.99857,-121.49018,758.6
367147,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,10TFQ404573,Land Covers,1.0,44.75532,-121.22616,418.9
237186,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,10TFR040175,Land Covers,2.0,45.3033,-121.67344,1300.9
171662,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,10TFR064182,Land Covers,1.0,45.30924,-121.64269,1424.9
348330,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,10TFR148626,Land Covers,1.0,45.70744,-121.52517,103.8
367335,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,10TFR150617,Land Covers,2.0,45.6993,-121.52281,148.4
367883,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,10TFR151617,Land Covers,1.0,45.69929,-121.52153,142.2
367122,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,10TGP076479,Land Covers,2.0,43.75506,-120.42126,1354.6
149424,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,10TGR176667,Land Covers,1.0,45.71963,-120.20387,84.2
367151,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,11TLH715928,Land Covers,1.0,43.27706,-118.58365,1250.2
